Company Name,Sector,Market Price,52 Weeks High - Low,EPS,P/E Ratio,Book Value,PBV,% Dividend,% Bonus,Right Share,G.N,price above GN
Reliance Life Insurance Company Limited (RLI),Life Insurance,575.00,795.00-423.40,0.00,0.00,108.65,5.29,"5.26
                                
                                    (FY:076-077)",,,0.0,0
RMDC Laghubitta Bittiya Sanstha Limited (RMDC),Microfinance,"1,111.00","1,800.00-1,001.00",27.1,40.92,253.16,4.39,,,,392.89223713379727,182.77473948197533
RBB Mutual Fund 1 (RMF1),Mutual Fund,9.16,10.30-8.80,0.00,0.00,0.00,0.00,,,,0.0,0
RSDC Laghubitta Bittiya Sanstha Ltd. (RSDC),Microfinance,736.30,"1,194.40-584.00",12.1,60.60,115.56,6.37,"0.53
                                
                                    (FY:077-078)","10.00
                                
                                    (FY:077-078)","5:3
                                
                                    (FY:073-074)",177.37308138497227,315.11372202072045
Ru Ru Jalbidhyut Pariyojana Limited (RURU),Hydro Power,"1,039.00","1,849.20-356.00",29.3,35.45,124.92,8.32,"0.53
                                
                                    (FY:077-078)","10.00
                                
                                    (FY:077-078)",,286.9730126684389,262.05495086063485
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED (SABSL),Microfinance,"1,416.00","2,306.20-1,041.00",42.3,33.43,143.74,9.85,"1.63
                                
                                    (FY:077-078)","31.05
                                
                                    (FY:077-078)",,369.87098426343204,282.8361943070091
Shangrila Development Bank Ltd. (SADBL),Development Bank Limited,398.00,595.00-197.00,17.3,22.89,130.97,3.04,"0.53
                                
                                    (FY:077-078)","10.00
                                
                                    (FY:077-078)",,225.78767127547067,76.27180339462507
Sanima Equity Fund (SAEF),Mutual Fund,13.51,20.19-11.99,0.00,0.00,0.00,13.51,"7.00
                                
                                    (FY:076-077)",,,0.0,0
Sahas Urja Limited (SAHAS),Hydro Power,660.00,789.40-405.30,19.6,33.55,149.91,4.40,,,,257.11925248802356,156.69022977217247
Sanima Bank Limited (SANIMA),Commercial Banks,343.00,564.90-319.00,19.0,18.03,140.02,2.45,"0.89
                                
                                    (FY:077-078)","17.00
                                
                                    (FY:077-078)","2:1
                                
                                    (FY:071-072)",244.660070301633,40.19451542588338
